Country,Country Code,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
Cook Islands,COK,1993,YR1993,..,94.9575106,96.10138702,96.84001923,..,0,0,0,0,16,405.5
Cook Islands,COK,1994,YR1994,..,95.40865905,96.35715485,96.9822998,..,0,0,0,0,16,405.5
Cook Islands,COK,1995,YR1995,..,95.82411334,96.60374451,97.12149048,..,0,0,0,0,16,405.5
Cook Islands,COK,1996,YR1996,..,96.20265884,96.83809662,97.25656128,..,0,0,0,0,20,464.2
Cook Islands,COK,1997,YR1997,..,96.54644928,97.05715942,97.38647461,..,0,0,0,0,20,464.2
Cook Islands,COK,1998,YR1998,..,96.85643407,97.25785828,97.51020813,..,0,0,0,0,20,464.2
Cook Islands,COK,1999,YR1999,..,97.13075364,97.43714905,97.62672424,..,0,0,0,0,22,471.4
Cook Islands,COK,2000,YR2000,82.87,97.30071357,97.5934906,97.73563385,..,0,0,0,0,25,482.2
Cook Islands,COK,2001,YR2001,83.39,97.51611412,97.73141479,97.83911896,..,0,0,0,0,26,442.8
Cook Islands,COK,2002,YR2002,83.81,97.69909954,97.85699463,97.93999481,..,0,0,0,0,28,380.42
Cook Islands,COK,2003,YR2003,84.23,97.82312968,97.97629547,98.04333496,..,0,0,0,0,29.1,440.54
Cook Islands,COK,2004,YR2004,84.51,97.99317275,98.09975433,98.14953613,..,0,0,0,0,29.8,473.16
Cook Islands,COK,2005,YR2005,84.56,98.14528034,98.22920227,98.26156616,..,0,0,0,0,29.9,495.54
Cook Islands,COK,2006,YR2006,85.19,98.87892377,98.60750531,98.48223525,..,0,0,0,0,32.2,534.57
Cook Islands,COK,2007,YR2007,85.14,98.56235562,98.52780914,98.51335144,..,0,0,0,0,33.7,574.11
Cook Islands,COK,2008,YR2008,85.06,98.84868654,98.70466614,98.65648651,..,0,0,0,0,33.5,586.42
Cook Islands,COK,2009,YR2009,85.04,99.16209566,98.90106201,98.81137085,..,0,0,0,0,32.7,548.75
Cook Islands,COK,2010,YR2010,85.03,99.50797824,99.1151886,98.9768219,..,0,0,0,0,33.7,630.66
Cook Islands,COK,2011,YR2011,84.89,99.34318555,99.26806953,99.23906151,..,0.9,2.678571429,0,0,33.6,691.28
Cook Islands,COK,2012,YR2012,85.03,100,99.57159424,99.33268738,..,1.4,4.255319149,0,0,32.9,723.55
Cook Islands,COK,2013,YR2013,84.72,100,99.77217102,99.51805878,..,1.4,4.307692308,0,0,32.5,717.81
Cook Islands,COK,2014,YR2014,84.82,100,99.91053772,99.69805145,..,2.6,8.176100629,0,0,31.8,750.08
Cook Islands,COK,2015,YR2015,84.54,100,99.97758484,99.85910034,..,2.4,8.163265306,0,0,29.4,693.62
Cook Islands,COK,2016,YR2016,84.35,100,100,100,..,..,..,..,..,..,..
Costa Rica,CRI,1990,YR1990,..,94.94941484,97.47466278,99.99971008,3.111192075,3382,97.52018454,27734.66,45.3807809,3468,61115.43136
Costa Rica,CRI,1991,YR1991,..,95.18023748,97.63420105,99.9998703,3.218435837,3666,94.8757764,28274.28,44.68947084,3864,63268.32578
Costa Rica,CRI,1992,YR1992,..,95.41881554,97.79322815,99.99996948,3.807065221,4069,82.83794788,25085.33,35.02787271,4912,71615.3396
Costa Rica,CRI,1993,YR1993,..,95.66050013,97.94919586,100,3.616545235,4417,89.92263844,26876.79,36.25917298,4912,74124.11203
Costa Rica,CRI,1994,YR1994,..,95.88377451,98.09217072,100,3.402254044,4428,90.1465798,28184.55,35.80152388,4912,78724.44227
Costa Rica,CRI,1995,YR1995,..,96.10603898,98.23054504,100,3.34079092,4039,82.74943659,28082.17,34.97356676,4881,80295.41336
Costa Rica,CRI,1996,YR1996,..,96.31012744,98.35668945,99.99995422,3.325520603,4356,90.71220325,30001.62,36.65421713,4802,81850.39088
Costa Rica,CRI,1997,YR1997,..,96.48904342,98.46755981,99.99922943,3.189832298,5440,96.9524149,26886.33,33.56391353,5611,80104.8721
Costa Rica,CRI,1998,YR1998,..,96.63759744,98.56036377,99.99543762,2.925780815,4972,91.85294661,24155.87,28.89051122,5413,83611.77764
Costa Rica,CRI,1999,YR1999,..,96.75539958,98.63323975,99.98448181,2.981235582,6045,97.84719974,26404.87,29.89049818,6178,88338.67484
Costa Rica,CRI,2000,YR2000,87.8,96.84453004,98.686409,99.96376801,3.201234315,6860,99.14727562,30395,32.94784251,6919,92251.86746
Costa Rica,CRI,2001,YR2001,88.34,95.769373,98.24978,99.874108,3.18606625,6645,98.51742031,31016.81,32.10903282,6745,96598.39388
Costa Rica,CRI,2002,YR2002,88.76,96.46564,98.509188,99.863464,3.257361175,7403,98.37873754,32558.33,32.65263212,7525,99711.19595
Costa Rica,CRI,2003,YR2003,89.31,96.89876,98.695902,99.882549,3.285718502,7296,97.89346572,35207.96,33.65982075,7453,104599.3687
Costa Rica,CRI,2004,YR2004,89.65,97.58591,98.954779,99.847066,3.73352089,8149,99.1965916,46299.34,39.49662543,8215,117223.5336
Costa Rica,CRI,2005,YR2005,90.07,97.801975,99.053051,99.894615,3.524806492,7989,96.71912833,51636.65,42.06059781,8260,122767.2755
Costa Rica,CRI,2006,YR2006,90.55,97.964446,99.147523,99.930421,3.506011756,8164,93.87144993,55210.68,42.26487659,8697,130630.1697
Costa Rica,CRI,2007,YR2007,90.8,98.166312,99.217998,99.917154,3.501223324,8328,92.02209945,61610.25,42.843379,9050,143803.4334
Costa Rica,CRI,2008,YR2008,91.2,98.282766,99.263937,99.924095,3.466639152,8797,92.85412708,62554.86,43.13020527,9474,145037.2415
Costa Rica,CRI,2009,YR2009,91.51,98.641978,99.409804,99.929925,3.483155971,8859,95.15574651,59525.06,42.26680959,9310,140831.6847
Costa Rica,CRI,2010,YR2010,91.89,97.734454,98.995734,99.746437,3.380725755,8942,93.31107169,61150.97,42.31125269,9583,144526.4938
Costa Rica,CRI,2011,YR2011,92.13,97.986184,99.232348,99.964484,3.240789013,8969,91.22253865,58134.51,40.50212372,9832,143534.4734
Costa Rica,CRI,2012,YR2012,92.53,98.690151,99.503298,99.98337,3.13274825,9344,91.84195007,54996.98,38.62385459,10174,142391.2258
Costa Rica,CRI,2013,YR2013,92.69,98.921142,99.563517,99.939949,3.09942694,9039,88.31460674,55198.39,38.07484182,10235,144973.3928
Costa Rica,CRI,2014,YR2014,92.91,98.414246,99.359291,99.704804,3.011811734,9174,89.79152393,55440.6,37.84254113,10217,146503.3752
Costa Rica,CRI,2015,YR2015,93.2,98.641978,99.409804,99.929925,2.878981863,10704,99.00110988,58767.05,38.73341388,10812,151721.8446
Costa Rica,CRI,2016,YR2016,93.45,100,100,100,..,..,..,..,..,..,..
Cote d'Ivoire,CIV,1990,YR1990,..,14.25520397,37.66371155,73.75070953,4.643192126,1322,66.66666667,87670.57,73.58234924,1983,119146.1959
Cote d'Ivoire,CIV,1991,YR1991,..,15.23913981,38.7843895,74.5231781,4.774664523,1254,69.01485966,90578.01,74.01566246,1817,122376.8146
Cote d'Ivoire,CIV,1992,YR1992,..,16.22398159,39.90456009,75.29547119,5.220167177,1048,56.64864865,92913.93,74.55874065,1850,124618.4273
Cote d'Ivoire,CIV,1993,YR1993,..,17.20604588,41.0216713,76.06674194,5.416513994,1099,50.2285192,95240.49,75.12672124,2188,126773.122
Cote d'Ivoire,CIV,1994,YR1994,..,13.7,36.5,69.7,5.505597544,1174,49.72469293,98073.42,75.6065175,2361,129715.5632
Cote d'Ivoire,CIV,1995,YR1995,..,19.14385648,43.23448181,77.60205841,5.120084256,1784,60.53613845,102387.8,74.88260302,2947,136731.0909
Cote d'Ivoire,CIV,1996,YR1996,..,20.08936553,44.32405853,78.36405182,5.338497446,1782,54.6961326,104893.9,74.0417289,3258,141668.626
Cote d'Ivoire,CIV,1997,YR1997,..,21.01463085,45.39834213,79.12088776,5.250650503,1879,46.61374349,107489.1,72.13514374,4031,149010.7241
Cote d'Ivoire,CIV,1998,YR1998,..,21.91380264,46.45426941,79.87154388,4.99123684,1377,34.23669816,108769.9,73.44730424,4022,148092.4332
Cote d'Ivoire,CIV,1999,YR1999,..,22.5,48.2,85.9,5.856220039,1754,36.412705,111610.3,61.93084644,4817,180217.624
Cote d'Ivoire,CIV,2000,YR2000,17.81,23.16616873,48.50034714,81.35081482,5.779782232,1764,36.75,114626.3,63.71597425,4800,179901.9812
Cote d'Ivoire,CIV,2001,YR2001,17.79,23.68551933,49.49349976,82.08122253,5.551838665,1800,36.84749232,115608.5,64.72613509,4885,178611.7769
Cote d'Ivoire,CIV,2002,YR2002,17.66,25.85393473,51.4,82.809021,6.034799624,1729,32.65961466,117467.1,65.32070192,5294,179831.3499
Cote d'Ivoire,CIV,2003,YR2003,17.63,24.64555986,51.44882965,83.53701782,5.78367537,1832,36.01336741,120168.4,70.31969584,5087,170888.68
Cote d'Ivoire,CIV,2004,YR2004,17.61,25.10425716,52.42313004,84.26802826,8.051701381,1855,33.66606171,160540.3,75.51890533,5510,212582.9278
Cote d'Ivoire,CIV,2005,YR2005,17.58,37,58.9,86.4,8.18734575,1547,27.23112128,164126.8,78.06971387,5681,210231.0766
Cote d'Ivoire,CIV,2006,YR2006,17.62,36.11954238,60.17105263,91.22701236,7.931036677,1622,28.68258179,168721.3,74.91404094,5655,225219.8625
Cote d'Ivoire,CIV,2007,YR2007,17.78,26.38826141,55.4053421,86.50735474,8.388273166,1912,33.95489256,173838.6,76.44510009,5631,227403.195
Cote d'Ivoire,CIV,2008,YR2008,17.8,26.76698827,56.43788147,87.27784729,8.221952336,2016,34.75862069,172248.5,74.31726247,5800,231774.5491
Cote d'Ivoire,CIV,2009,YR2009,17.68,27.1656405,57.49144363,88.06082916,7.297343602,2203,37.5234202,162086.7,73.67293672,5871,220008.4688
Cote d'Ivoire,CIV,2010,YR2010,17.93,27.5890397,58.56303406,88.85453033,7.752552195,1687,28.28164292,179393.9,75.37014337,5965,238017.1935
Cote d'Ivoire,CIV,2011,YR2011,17.87,28.0337591,59.64964294,89.6571579,9.29580568,1838,30.13608788,209858.2,78.89574715,6099,265994.3122
Cote d'Ivoire,CIV,2012,YR2012,17.96,29,55.8,88.1,9.104004576,1855,26.4395667,216410.9,74.90455645,7016,288915.535
Cote d'Ivoire,CIV,2013,YR2013,17.89,28.98339562,61.85590363,91.28205109,8.927539842,1674,21.88235294,221390.8,72.57985296,7650,305030.6538
Cote d'Ivoire,CIV,2014,YR2014,18.03,27.18222094,61.9,92.10074615,8.440094011,1983,23.93193338,228122.1,72.22378455,8286,315854.5366
Cote d'Ivoire,CIV,2015,YR2015,17.96,29.99011916,64.0861969,92.92123413,7.235900982,1457,16.72597865,182270.8,64.52802565,8711,282467.6536
Cote d'Ivoire,CIV,2016,YR2016,18.23,38.1,64.3,92,..,..,..,..,..,..,..
Croatia,HRV,1990,YR1990,..,100,100,100,4.903922025,4128,45.55285809,57881.64,21.92317971,9062,264020.2779
Croatia,HRV,1991,YR1991,..,100,100,100,5.364293748,5891,65.88748462,77392.51,33.35454151,8941,232029.9021
Croatia,HRV,1992,YR1992,..,100,100,100,5.562429571,4355,48.92159065,60467.35,29.81103336,8902,202835.4713
Croatia,HRV,1993,YR1993,..,100,100,100,6.250695313,4569,47.77289837,62226.51,29.89999015,9564,208115.4866
Croatia,HRV,1994,YR1994,..,100,100,100,5.788253372,5441,62.01983358,63165.26,30.09833466,8773,209862.9732
Croatia,HRV,1995,YR1995,..,100,100,100,5.588934938,5692,61.36265632,66002.51,30.38452744,9276,217224.0793
Croatia,HRV,1996,YR1996,..,100,100,100,5.448942187,7872,70.45556252,77777.09,34.12650443,11173,227908.1649
Croatia,HRV,1997,YR1997,..,100,100,100,5.403623498,5854,57.18472209,71211.16,29.21115068,10237,243780.7424
Croatia,HRV,1998,YR1998,..,100,100,100,5.480510411,6031,52.65409464,69551.04,28.11439946,11454,247385.8284
Croatia,HRV,1999,YR1999,..,100,100,100,5.465750711,7336,56.53078524,70735.23,27.81084184,12977,254344.0807
Croatia,HRV,2000,YR2000,80.41,100,100,100,5.070880369,6454,57.30267247,66360.56,26.78818026,11263,247723.2845
Croatia,HRV,2001,YR2001,81.68,100,100,100,5.088814757,7181,56.22895623,70112.5,26.94549835,12771,260201.1627
Croatia,HRV,2002,YR2002,82.85,100,100,100,4.974321284,5851,46.05273514,64978.98,24.63118245,12705,263807.7978
Croatia,HRV,2003,YR2003,84.03,100,100,100,5.055451803,5458,41.37355973,70083.81,24.8401387,13192,282139.3666
Croatia,HRV,2004,YR2004,85.07,100,100,100,4.855038633,7633,54.92552349,76917.54,26.58523781,13897,289324.2504
Croatia,HRV,2005,YR2005,85.77,100,100,100,4.730940985,7060,54.07061346,80199.33,26.8368897,13057,298839.8838
Croatia,HRV,2006,YR2006,86.93,100,100,100,4.489793043,6647,51.43542521,76442.11,25.51721578,12923,299570.7316
Croatia,HRV,2007,YR2007,87.55,100,100,100,4.439970167,4743,37.80789159,68143.04,22.67215589,12545,300558.2721
Croatia,HRV,2008,YR2008,88.48,100,100,100,4.241522531,5842,45.70847352,73650.5,24.15591135,12781,304896.3831
Croatia,HRV,2009,YR2009,89.18,100,100,100,4.428461852,7488,56.00598355,80443.4,27.17825646,13370,295984.4025
Croatia,HRV,2010,YR2010,89.91,100,100,100,4.450794166,9298,62.84130846,88498.82,29.77504731,14796,297224.7839
Croatia,HRV,2011,YR2011,90.54,100,100,100,4.356355101,5289,47.03842049,77919.73,27.18623939,11244,286614.5953
Croatia,HRV,2012,YR2012,90.91,100,100,100,4.191910278,5262,49.67431323,80441.68,29.42194887,10593,273407.0416
Croatia,HRV,2013,YR2013,91.33,100,100,100,4.148082602,9275,66.50175665,88538.09,32.8375106,13947,269624.854
Croatia,HRV,2014,YR2014,91.96,100,100,100,3.946157917,9937,73.95802322,86063.93,33.64819127,13436,255775.7988
Croatia,HRV,2015,YR2015,92.28,100,100,100,4.053076043,7510,66.82683752,89589.79,33.12746664,11238,270439.6053
Croatia,HRV,2016,YR2016,92.7,100,100,100,..,..,..,..,..,..,..
Cuba,CUB,1990,YR1990,..,75.97107798,92.52192688,98.53098297,5.029462899,1540,10.25026624,243756.5,42.8902011,15024,568326.7827
Cuba,CUB,1991,YR1991,..,77.10567093,92.99980164,98.67868042,4.659978164,1369,10.33441534,216202.1,47.17417518,13247,458306.0523
Cuba,CUB,1992,YR1992,..,78.38996557,93.47717285,98.82585907,4.617658115,1418,12.28982493,202792.7,51.31063637,11538,395225.4627
Cuba,CUB,1993,YR1993,..,79.67979805,93.95147705,98.97184753,4.531074405,969,8.807489547,147620.9,46.86792497,11002,314972.1266
Cuba,CUB,1994,YR1994,..,80.96523785,94.4196701,99.11575317,4.636382618,946,7.906393648,146382.8,45.77703154,11965,319773.4651
Cuba,CUB,1995,YR1995,..,82.2372442,94.87867737,99.25655365,4.524074976,764,6.132113332,129711.8,41.25462639,12459,314417.585
Cuba,CUB,1996,YR1996,..,83.48733699,95.32545471,99.39322662,4.580990788,1017,7.683590209,145703.7,41.42907161,13236,351694.3401
Cuba,CUB,1997,YR1997,..,84.68026845,95.75693512,99.52476501,4.579089226,1000,7.069136152,141772,36.81811856,14146,385060.4147
Cuba,CUB,1998,YR1998,..,85.80979631,96.1700592,99.65023804,4.285823352,876,6.191687871,129009.8,34.82274699,14148,370475.655
Cuba,CUB,1999,YR1999,..,86.8983453,96.56177521,99.76764679,4.198972349,984,6.789953078,132981.3,33.71908331,14492,394379.9384
Cuba,CUB,2000,YR2000,68.34,87.9,97,100,4.249100862,1033,6.872006386,137401.4,34.43082042,15032,399065.1351
Cuba,CUB,2001,YR2001,69.42,89.04953828,97.28088379,99.94404602,4.02348686,1005,6.569056801,138351.9,34.05064651,15299,406312.1091
Cuba,CUB,2002,YR2002,70.37,90.21753162,97.61888885,99.98378754,3.696341745,1045,6.656474935,112336.6,34.81082932,15699,322705.8999
Cuba,CUB,2003,YR2003,71.31,91.48779709,97.9506073,99.99742889,3.543649397,848,5.363693865,98146.55,33.57159125,15810,292350.0089
Cuba,CUB,2004,YR2004,72.2,92.84857368,98.28649139,99.9998703,3.274524497,877,5.609568888,97951.52,33.77568403,15634,290006.0289
Cuba,CUB,2005,YR2005,73,94.25273202,98.62835693,100,2.785878781,488,3.180810846,73670.03,26.31836392,15342,279918.7298
Cuba,CUB,2006,YR2006,73.78,95.70818,98.97970581,100,2.482029477,500,3.036007044,60806.1,21.9680514,16469,276793.3255
Cuba,CUB,2007,YR2007,74.61,97.171389,99.33018494,100,2.202804848,537,3.046981389,51169.82,18.59356034,17624,275201.839
Cuba,CUB,2008,YR2008,75.35,98.47528573,99.6403656,100,2.246373691,702,3.970812829,48130.79,18.73183547,17679,256946.4699
Cuba,CUB,2009,YR2009,75.86,99.39276589,99.85733032,100,2.347202987,696,3.924664486,48880.17,16.12421036,17734,303147.6823
Cuba,CUB,2010,YR2010,76.59,99.84573647,99.96389771,100,2.479070724,564,3.241938265,41180.95,13.15763195,17397,312981.4707
Cuba,CUB,2011,YR2011,77.01,99.98160646,99.99571228,100,2.267412246,573,3.226351351,49394.5,16.68021184,17760,296126.335
Cuba,CUB,2012,YR2012,77.76,100,100,100,2.274504369,684,3.711743,51788.21,17.10235036,18428,302813.4082
Cuba,CUB,2013,YR2013,78.2,100,100,100,2.130060969,833,4.352142111,49136.31,16.88796521,19140,290954.5903
Cuba,CUB,2014,YR2014,78.64,100,100,100,2.13362346,778,4.017349995,56123.56,18.79844289,19366,298554.3022
Cuba,CUB,2015,YR2015,79.04,100,100,100,2.107222144,801,3.948146688,57732.18,19.28132064,20288,299420.258
Cuba,CUB,2016,YR2016,79.44,100,100,100,..,..,..,..,..,..,..
Curacao,CUW,1990,YR1990,..,100,100,100,..,0,0,0,0,790,24727.61761
Curacao,CUW,1991,YR1991,..,100,100,100,..,0,0,0,0,801,26109.51282
Curacao,CUW,1992,YR1992,..,100,100,100,..,0,0,0,0,853,27587.41135
Curacao,CUW,1993,YR1993,..,100,100,100,..,8,0.880088009,22.78431,0.096968998,909,23496.48907
Curacao,CUW,1994,YR1994,..,100,100,100,..,8,0.823892894,22.57543,0.081382537,971,27739.89461
Curacao,CUW,1995,YR1995,..,100,100,100,..,8,0.792864222,22.55312,0.080581862,1009,27987.8369
Curacao,CUW,1996,YR1996,..,100,100,100,..,8,0.784313725,23.35481,0.081862977,1020,28529.14828
Curacao,CUW,1997,YR1997,..,100,100,100,..,8,0.765550239,22.76849,0.081762955,1045,27846.95108
Curacao,CUW,1998,YR1998,..,100,100,100,..,8,0.720072007,22.68634,0.078676188,1111,28835.07775
Curacao,CUW,1999,YR1999,..,100,100,100,..,8,0.718778077,22.59381,0.075462531,1113,29940.43482
Curacao,CUW,2000,YR2000,..,100,100,100,..,8,0.713648528,22.40687,0.072376341,1121,30958.83205
Curacao,CUW,2001,YR2001,..,100,100,100,..,32,2.922374429,87.33627,0.27880796,1095,31324.88398
Curacao,CUW,2002,YR2002,..,100,100,100,..,32,2.789886661,83.77862,0.266924824,1147,31386.59741
Curacao,CUW,2003,YR2003,..,100,100,100,..,32,2.709568163,86.04971,0.271912927,1181,31646.0534
Curacao,CUW,2004,YR2004,..,100,100,100,..,32,2.644628099,85.98703,0.266028625,1210,32322.47281
Curacao,CUW,2005,YR2005,..,100,100,100,..,32,2.564102564,85.95392,0.260307721,1248,33020.1193
Curacao,CUW,2006,YR2006,..,100,100,100,..,32,2.6272578,85.98988,0.254083166,1218,33843.20231
Curacao,CUW,2007,YR2007,..,100,100,100,..,32,2.547770701,85.95689,0.245525806,1256,35009.30984
Curacao,CUW,2008,YR2008,..,100,100,100,..,32,2.576489533,85.90531,0.241213546,1242,35613.80003
Curacao,CUW,2009,YR2009,..,100,100,100,..,32,2.465331279,85.92733,0.248549943,1298,34571.4543
Curacao,CUW,2010,YR2010,..,100,100,100,..,32,2.418745276,85.95831,0.243917905,1323,35240.67241
Curacao,CUW,2011,YR2011,..,100,100,100,..,32,2.41509434,86.00248,0.241650877,1325,35589.55846
Curacao,CUW,2012,YR2012,..,100,100,100,..,32,3.489640131,85.94437,0.357017933,917,24072.84396
Curacao,CUW,2013,YR2013,..,100,100,100,..,32,3.539823009,85.90573,0.355516897,904,24163.61378
Curacao,CUW,2014,YR2014,..,100,100,100,..,32,3.591470258,85.86595,0.348989719,891,24604.14888
Curacao,CUW,2015,YR2015,..,100,100,100,..,32,3.712296984,85.94772,0.347766268,862,24714.21985
Curacao,CUW,2016,YR2016,..,100,100,100,..,..,..,..,..,..,..
Cyprus,CYP,1990,YR1990,..,100,100,100,4.149007003,0,0,175.8037,0.495929367,1974,35449.34252
Cyprus,CYP,1991,YR1991,..,100,100,100,4.203008314,0,0,150.8085,0.365810347,2077,41225.87048
Cyprus,CYP,1992,YR1992,..,100,100,100,4.324833151,0,0,148.7989,0.34709919,2430,42869.27322
Cyprus,CYP,1993,YR1993,..,100,100,100,4.611114157,0,0,147.794,0.334859875,2590,44136.0733
Cyprus,CYP,1994,YR1994,..,100,100,100,4.975387351,0,0,331.3852,0.723186986,2685,45822.89315
Cyprus,CYP,1995,YR1995,..,100,100,100,4.130950492,0,0,1604.34,3.35429847,2497,47829.37518
Cyprus,CYP,1996,YR1996,..,100,100,100,4.519627336,0,0,1694.356,3.357069083,2609,50471.28785
Cyprus,CYP,1997,YR1997,..,100,100,100,4.324669696,0,0,1670.366,3.294070781,2728,50708.26073
Cyprus,CYP,1998,YR1998,..,100,100,100,4.404288716,0,0,1731.074,3.262168212,2991,53065.13605
Cyprus,CYP,1999,YR1999,..,100,100,100,4.229376843,0,0,1762.308,3.226642523,3139,54617.39215
Cyprus,CYP,2000,YR2000,100,100,100,100,4.305025129,0,0,1758.707,3.096656827,3370,56793.73266
Cyprus,CYP,2001,YR2001,100,100,100,100,4.112236284,0,0,1744.681,3.047474962,3551,57250.05199
Cyprus,CYP,2002,YR2002,100,100,100,100,4.038411412,0,0,1853.287,3.176415342,3785,58345.23514
Cyprus,CYP,2003,YR2003,100,100,100,100,4.274511788,0,0,2006.273,3.257164098,4052,61595.69918
Cyprus,CYP,2004,YR2004,100,100,100,100,3.836012692,0,0,2092.018,3.304328057,4201,63311.44982
Cyprus,CYP,2005,YR2005,100,100,100,100,3.752852614,1,0.022846699,2135.888,3.364850973,4377,63476.45161
Cyprus,CYP,2006,YR2006,100,100,100,100,3.734778234,1,0.021496131,2262.842,3.514238327,4652,64390.68126
Cyprus,CYP,2007,YR2007,100,100,100,100,3.759394482,3,0.061588996,2943.415,4.355311326,4871,67582.19516
Cyprus,CYP,2008,YR2008,100,100,100,100,3.842810902,15,0.295333727,3814.927,5.493663997,5079,69442.30667
Cyprus,CYP,2009,YR2009,100,100,100,100,3.834268659,31,0.594439118,4115.49,5.978516167,5215,68837.98396
Cyprus,CYP,2010,YR2010,100,100,100,100,3.658630682,73,1.371664788,4337.858,6.353225599,5322,68278.04132
Cyprus,CYP,2011,YR2011,100,100,100,100,3.532757809,178,3.611280179,4963.243,7.415751985,4929,66928.38448
Cyprus,CYP,2012,YR2012,100,100,100,100,3.405302644,257,5.448378206,5158.298,8.338900172,4717,61858.25341
Cyprus,CYP,2013,YR2013,100,100,100,100,3.138913719,327,7.622377622,5408.722,9.495930361,4290,56958.31577
Cyprus,CYP,2014,YR2014,100,100,100,100,3.261150162,317,7.287356322,5354.086,9.363295684,4350,57181.63968
Cyprus,CYP,2015,YR2015,100,100,100,100,3.274623243,398,8.780057357,5857.732,9.942066016,4533,58918.65926
Cyprus,CYP,2016,YR2016,100,100,100,100,..,..,..,..,..,..,..
Czech Republic,CZE,1990,YR1990,..,100,100,100,10.12356121,1161,1.864431276,46616.77,3.571507027,62271,1305240.887
Czech Republic,CZE,1991,YR1991,..,100,100,100,10.36001668,1089,1.806030051,46726.69,3.97518245,60298,1175460.261
Czech Republic,CZE,1992,YR1992,..,100,100,100,10.11947631,1402,2.373977683,68521,5.900118202,59057,1161349.615
Czech Republic,CZE,1993,YR1993,..,100,100,100,9.804831402,1530,2.608517748,65907.72,5.817441516,58654,1132933.091
Czech Republic,CZE,1994,YR1994,..,100,100,100,9.237199762,1781,3.050232064,62702.43,5.907756675,58389,1061357.694
Czech Republic,CZE,1995,YR1995,..,100,100,100,8.814719316,2407,3.973586463,55652.33,5.302877728,60575,1049474.132
Czech Republic,CZE,1996,YR1996,..,100,100,100,8.722497874,2261,3.542610031,55921.34,5.241574228,63823,1066880.627
Czech Republic,CZE,1997,YR1997,..,100,100,100,8.839732544,2193,3.414983571,59475.87,5.648484534,64217,1052952.693
Czech Republic,CZE,1998,YR1998,..,100,100,100,8.589488312,1983,3.068519436,60467.94,5.966940712,64624,1013382.618
Czech Republic,CZE,1999,YR1999,..,100,100,100,7.886745542,2358,3.675244315,63277.78,6.477149481,64159,976938.701
Czech Republic,CZE,2000,YR2000,93.2,100,100,100,7.949793262,2284,3.132586304,59716.58,5.941129661,72911,1005138.474
Czech Republic,CZE,2001,YR2001,93.82,100,100,100,7.922713309,2577,3.471455128,64685.32,6.286779916,74234,1028910.203
Czech Republic,CZE,2002,YR2002,94.4,100,100,100,7.878283576,2998,3.944996381,72991.55,7.275512199,75995,1003249.641
Czech Republic,CZE,2003,YR2003,94.83,100,100,100,7.956665584,1879,2.26888524,70438.03,6.723767201,82816,1047597.692
Czech Republic,CZE,2004,YR2004,95.26,100,100,100,7.762594438,2741,3.271273422,75409.55,7.114114965,83790,1059999.035
Czech Republic,CZE,2005,YR2005,95.65,100,100,100,7.205642547,3132,3.822728882,79053.12,7.512847343,81931,1052239.136
Czech Republic,CZE,2006,YR2006,95.91,100,100,100,6.899537591,3520,4.207808353,83187.21,7.858287725,83654,1058592.061
Czech Republic,CZE,2007,YR2007,96.19,100,100,100,6.543270817,3410,3.88541999,85907.49,8.292580278,87764,1035956.085
Czech Republic,CZE,2008,YR2008,96.46,100,100,100,6.224910189,3731,4.47926046,92756.04,8.955101345,83166,1035789.953
Czech Republic,CZE,2009,YR2009,96.68,100,100,100,6.129395811,4654,5.70119561,102475.4,10.21416204,81697,1003267.812
Czech Republic,CZE,2010,YR2010,96.78,100,100,100,6.311937448,5902,6.918135784,110296.4,10.91771998,85319,1010251.226
Czech Republic,CZE,2011,YR2011,96.77,100,100,100,5.968028048,7248,8.352539873,118405.7,12.12060346,86860,976896.0794
Czech Republic,CZE,2012,YR2012,96.99,100,100,100,5.996259897,8065,9.303586466,124598.5,12.76281601,86842,976261.8211
Czech Republic,CZE,2013,YR2013,97.07,100,100,100,5.934764748,9309,10.82341178,134716,13.92371891,86160,967528.868
Czech Republic,CZE,2014,YR2014,97.14,100,100,100,5.733707062,9172,10.77841497,139034.7,14.83074209,84972,937476.3526
Czech Republic,CZE,2015,YR2015,97.17,100,100,100,5.507708699,9422,11.40457054,142773.3,14.82856195,82616,962826.338
Czech Republic,CZE,2016,YR2016,97.13,100,100,100,..,..,..,..,..,..,..
Denmark,DNK,1990,YR1990,..,100,100,100,4.251254886,825,3.175275191,37940.52,7.041559801,25982,538808.4611
